Work Item Type,Title,Description,Acceptance Criteria,Assigned To,State,Area Path,Iteration Path,Story Points,Priority,Tags
Product Backlog Item,As an organiser I can add one guest at a time so that small changes are not painful,Single-guest form alongside bulk import.,A guest can be added without a file; the invite issues immediately; validation matches the bulk path.,M4-PLACEHOLDER,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,3,2,E5-Guests
Product Backlog Item,As an organiser I can erase a guest's data on request so that we meet GDPR obligations,Per-guest erasure plus a scheduled retention sweep.,Personal data is anonymised not deleted so counts survive; erasure is timestamped; the sweep is idempotent.,M5-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 4,8,1,E5-Guests
Product Backlog Item,As an organiser suspicious scan patterns are flagged so that fraud is visible,Rule-based anomaly detection over the audit log.,Detects repeated rejects multi-device and rapid sequential patterns; evaluated with precision and recall against labelled fixtures.,M5-PLACEHOLDER,Done,TicketFlow\Data & ML,TicketFlow\Sprint 5,13,1,E6-LiveOps
Product Backlog Item,As an organiser I can ask questions in plain English so that I need no training,Natural-language querying over the guest list.,Handles who has not arrived and how many VIPs checked in; intent parsing evaluated for accuracy; unknown intents fail gracefully.,M5-PLACEHOLDER,Done,TicketFlow\Data & ML,TicketFlow\Sprint 5,13,2,E7-Intelligence
Product Backlog Item,As an organiser I see expected no-shows so that I can plan capacity,Logistic no-show model trained offline and scored at runtime.,Scores only pending bookings; surfaced on the dashboard; model evaluation report committed.,M5-PLACEHOLDER,Done,TicketFlow\Data & ML,TicketFlow\Sprint 5,8,2,E7-Intelligence
Product Backlog Item,As the team each model is evaluated with metrics so that claims are evidenced,Evaluation harnesses for all three analytics features.,Each feature has a reproducible evaluation script or report; results are committed to the repository.,M5-PLACEHOLDER,Done,TicketFlow\QA,TicketFlow\Sprint 5,3,1,E8-Quality
Product Backlog Item,As the business expired data is anonymised automatically so that retention is compliant,Scheduled GDPR retention sweep.,Events past their retention window have attendee data anonymised; the sweep is safe to re-run; behaviour is integration-tested.,M5-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 6,8,1,E8-Quality
Product Backlog Item,As a user with a disability the interface meets WCAG 2.2 AA so that I can use it,Accessibility audit and remediation against named success criteria.,Form labels present; status messages announced; contrast meets 4.5 to 1; focus is always visible.,M2-PLACEHOLDER,Done,TicketFlow\Frontend,TicketFlow\Sprint 6,8,1,E8-Quality
Product Backlog Item,As the team CI runs tests on every change so that regressions are caught,GitHub Actions pipeline for backend tests and frontend checks.,Backend suite runs against a real replica set; frontend typecheck lint and component tests run; a failure blocks the merge.,M1-PLACEHOLDER,Done,TicketFlow\DevOps,TicketFlow\Sprint 6,5,1,E8-Quality
Product Backlog Item,As the team the stack runs from one command so that it is reproducible,Docker Compose covering database API and frontend.,docker compose up builds and starts everything; the replica set initialises automatically; documented in the README.,M1-PLACEHOLDER,Done,TicketFlow\DevOps,TicketFlow\Sprint 6,5,1,E8-Quality
Product Backlog Item,As door staff I am stopped at venue capacity so that we do not breach fire safety,Occupancy enforcement at the door with an auditable supervisor override.,Admission is refused at capacity; the override is explicit per scan and recorded in the audit log; events with no capacity set are unaffected.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 6,8,1,E4-Admission
Product Backlog Item,As the team ticket IDs are server-issued so that a buyer cannot choose their own code,Cryptographically random unique ticket identifiers generated server-side.,The client cannot supply a ticket ID; identifiers are unique by database index; a migration reconciles existing data.,M3-PLACEHOLDER,Done,TicketFlow\Backend,TicketFlow\Sprint 6,5,1,E4-Admission
Product Backlog Item,As the team usability is tested with real users so that design claims are evidenced,ISO 9241-11 usability study with SUS.,Five participants across three scenarios; effectiveness efficiency and satisfaction measured; at least one defect fixed and re-tested.,M2-PLACEHOLDER,Committed,TicketFlow\QA,TicketFlow\Sprint 6,5,1,E8-Quality
Product Backlog Item,As the team component tests cover the frontend so that rendering logic is verified,Vitest and React Testing Library setup with component tests.,Tests run headlessly in CI; the ticket QR and capacity override flows are covered.,M4-PLACEHOLDER,Done,TicketFlow\QA,TicketFlow\Sprint 6,4,2,E8-Quality
