ID,Work Item Type,Title 1,Title 2,Description,Acceptance Criteria,State,Area Path,Iteration Path,Story Points,Priority,Tags
,Task,,Derive dress and attendance advice from the forecast and the event fields,,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,,,E10-Concierge
,Task,,Fold the conditions into the event detail tool so one question answers everything,,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,,,E10-Concierge
,Product Backlog Item,As an organiser I can import a guest list from CSV or Excel so that setup is fast,,Bulk guest import for invite-only and hybrid events.,The header row is optional and column order is free; an invalid row is reported as skipped rather than failing the import.,Done,TicketFlow\Backend,TicketFlow\Sprint 3,8,1,E5-Guests
,Task,,Build the import UI with a file picker and a result summary,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Write the CSV and XLSX parser tolerating a missing header and any column order,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Report skipped rows individually rather than failing the whole import,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Product Backlog Item,As an organiser I can add a single guest by hand so that small changes are not painful,,One-off guest addition reusing the import path.,A single guest receives the same invite as an imported one.,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,3,3,E5-Guests
,Task,,Build the single-guest form with VIP and plus-ones,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Reuse the import path for a one-row payload,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Product Backlog Item,As a guest I receive a single-use QR invite so that I can be admitted,,Invite issuance as a side effect of being added to a guest list.,"The guest and their booking are persisted before the email is attempted, so a mail outage cannot lose the guest list.",Done,TicketFlow\Backend,TicketFlow\Sprint 3,5,1,E5-Guests
,Task,,Generate a signed single-use invite token per guest,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Render the QR into the invite email template,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Create the linked admission booking at invite time,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Product Backlog Item,As an organiser I only see the guest list on events that have one so that I am not offered a link that cannot work,,Guest list surfaces limited to invite-only and hybrid events.,The tab and card link are absent for a public event; a hand-typed URL explains the reason instead of failing.,Done,TicketFlow\Backend,TicketFlow\Sprint 3,3,2,E5-Guests
,Task,,Define hasGuestList once on the event model and use it in the service check,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Add the workspace lookup returning access mode and hasGuestList,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Hide the guest list tab and the My Events card link for public events,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Add tests pinning the rule in both the API and the tab strip,,,Done,TicketFlow\QA,TicketFlow\Sprint 3,,,E5-Guests
,Product Backlog Item,As an organiser I can ask questions about my guest list in plain English so that I need no training,,"Natural-language guest queries, implemented as a local intent parser rather than a language model.",Count and list intents are answered from the guest list only; no guest data leaves the process.,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,8,2,E7-Intelligence
,Task,,Build the query box and answer panel on the guest list page,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E7-Intelligence
,Task,,Write the regex intent parser for count and list questions,,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,,,E7-Intelligence
,Task,,Add unit tests covering each supported intent,,,Done,TicketFlow\QA,TicketFlow\Sprint 3,,,E7-Intelligence
,Product Backlog Item,As an organiser I can erase a guest's personal data on request so that we meet GDPR obligations,,On-demand erasure plus a scheduled retention sweep.,"Name and email are anonymised while VIP status, plus-ones and arrival record survive so statistics stay usable.",Done,TicketFlow\Backend,TicketFlow\Sprint 3,5,2,E5-Guests
,Task,,Add the erase control with confirmation on the guest list,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Anonymise name and email while preserving attendance statistics,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E5-Guests
,Task,,Write the scheduled retention sweep for events past their window,,,Done,TicketFlow\Data & ML,TicketFlow\Sprint 3,,,E5-Guests
,Product Backlog Item,As door staff I can scan a ticket or invite QR so that entry is quick,,Camera scanning with a manual code fallback.,An usher not assigned to the event is refused; a correctly typed code works in any case and with or without a hash prefix.,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,13,1,E4-Admission
,Task,,Build the scanner page using the device camera,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E4-Admission
,Task,,Implement the scan endpoint with an atomic single-use claim in a transaction,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Task,,"Accept a manually typed code, case-insensitively and with or without a hash prefix",,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Task,,"Authorise the scan for the owner, an admin or an assigned usher",,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Product Backlog Item,As an organiser the door refuses to admit the same ticket twice so that entry cannot be duplicated,,Atomic admission under concurrency.,Two simultaneous scans of one ticket admit exactly once; both attempts are audited.,Done,TicketFlow\Backend,TicketFlow\Sprint 3,8,1,E4-Admission
,Task,,Make admission a conditional update on booking status inside a transaction,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Task,,Write concurrency tests proving a double scan admits exactly once,,,Done,TicketFlow\QA,TicketFlow\Sprint 3,,,E4-Admission
,Task,,Record every scan outcome in the audit log,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Product Backlog Item,As an organiser the door stops admitting when the venue is full so that we stay within safe occupancy,,Capacity guardrail at the point of admission.,Capacity uses venue capacity where set and ticket inventory otherwise; re-scanning an already admitted ticket does not report the venue as full.,Done,TicketFlow\Backend,TicketFlow\Sprint 3,5,2,E4-Admission
,Task,,"Implement the capacity decision using venue capacity, falling back to ticket inventory",,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Task,,Load the capacity fields in the scan query so the guardrail actually fires,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Task,,Offer an explicit override prompt to the operator,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E4-Admission
,Product Backlog Item,As door staff I can admit manually so that a broken screen does not stop the queue,,Manual check-in as a fallback path.,Manual rows are flagged in the audit log and excluded from anomaly detection.,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,3,2,E4-Admission
,Task,,Add the manual check-in control,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E4-Admission
,Task,,Flag manual rows in the audit log and exclude them from anomaly detection,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Product Backlog Item,As an organiser I can assign door staff to an event so that entry is scoped to the right people,,Usher assignment writing an event-scoped permission.,Role alone grants nothing; an usher scanning another event's ticket is refused and the attempt is audited.,Done,TicketFlow\Backend,TicketFlow\Sprint 3,5,2,E4-Admission
,Task,,Build the door staff management page,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 3,,,E4-Admission
,Task,,Implement assign and unassign endpoints writing assignedEvents,,,Done,TicketFlow\Backend,TicketFlow\Sprint 3,,,E4-Admission
,Product Backlog Item,As a visitor I can click an event to see its full detail so that I can decide whether to attend,,The public event detail page.,"Venue detail, tiers, dates and organiser all render; an invite-only event is not reachable this way.",Done,TicketFlow\Frontend,TicketFlow\Sprint 4,5,1,E11-Discovery
,Task,,Create the event detail route and layout,,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E11-Discovery
,Task,,"Render venue detail, ticket tiers, dates and the organiser",,,Done,TicketFlow\Frontend,TicketFlow\Sprint 4,,,E11-Discovery
